Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.94.253-192.168.94.20-3000-48444-6,192.168.94.253,3000,192.168.94.20,48444,6,11/05/2022 03:14:22 PM,1615931,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.4753532174331703,538643.6666666666,920217.8349414519,1601198.0,1486.0,0,0,0,0,0,1615931.0,538643.6666666666,920217.8349414519,1601198.0,1486.0,0,0,0,0,0,140,0.0,2.4753532174331703,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,355,0,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.20-3000-48448-6,192.168.94.253,3000,192.168.94.20,48448,6,11/05/2022 03:14:22 PM,1623853,0,4,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.4632771562450544,541284.3333333334,918059.1402988881,1601324.0,2927.0,0,0,0,0,0,1623853.0,541284.3333333334,918059.1402988881,1601324.0,2927.0,0,0,0,0,0,140,0.0,2.4632771562450544,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,-1,347,0,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-35.224.170.84-35138-80-6,192.168.94.253,35138,35.224.170.84,80,6,11/05/2022 03:14:24 PM,3357926,5,6,87.0,148.0,87.0,0.0,17.4,38.90758280849634,148.0,0.0,24.666666666666668,60.42074698865173,69.98367444666738,3.275831569844005,335792.6,758155.8241505355,2293358.0,15.0,2338431.0,584607.75,1139458.92172217,2293514.0,86.0,3357926.0,671585.2,1017195.0567303697,2294025.0,26.0,0,0,0,0,168,216,1.489014349929093,1.7868172199149117,0.0,148.0,19.583333333333332,47.54989405080126,2260.9924242424245,0,1,0,0,0,0,0,0,1.0,21.363636363636363,17.4,24.666666666666668,0,0,0,0,0,0,5,87,6,148,-1,508,1,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-35.224.170.84-35138-80-6,192.168.94.253,35138,35.224.170.84,80,6,11/05/2022 03:14:27 PM,518340,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.858471273681367,518340.0,0.0,518340.0,518340.0,0,0,0,0,0,518340.0,518340.0,0.0,518340.0,518340.0,0,0,0,0,0,64,0.0,3.858471273681367,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,508,0,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.20-3000-48452-6,192.168.94.20,48452,192.168.94.253,3000,6,11/05/2022 03:14:23 PM,5064109,5,7,961.0,486.0,481.0,0.0,192.2,263.18092636055525,243.0,0.0,69.42857142857143,118.57185886324679,285.73634572241633,2.369617241650999,460373.54545454547,1479674.0418311977,4921166.0,24.0,132939.0,33234.75,34702.930129649474,81829.0,3488.0,5064109.0,844018.1666666666,2036732.6692924055,5001343.0,52.0,0,0,0,0,160,240,0.987340517354583,1.3822767242964162,0.0,481.0,111.30769230769229,186.81469634167107,34899.73076923077,0,1,0,0,0,0,0,0,1.0,120.58333333333333,192.2,69.42857142857143,0,0,0,0,0,0,5,961,7,486,-1,503,2,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.20-3000-48450-6,192.168.94.20,48450,192.168.94.253,3000,6,11/05/2022 03:14:16 PM,11985630,6,9,1434.0,640.0,518.0,0.0,239.0,263.06196988542456,243.0,0.0,71.11111111111111,109.5187705880189,173.04054939122932,1.2514986696569141,856116.4285714286,2147239.78909299,6874130.0,24.0,7174813.0,1434962.6,3041944.3733593817,6874130.0,16996.0,1.198563E7,1498203.75,2794682.256575551,6899963.0,24.0,0,0,0,0,192,304,0.5005994678627657,0.7508992017941485,0.0,518.0,129.625,193.45244893771698,37423.84999999999,0,1,0,0,0,0,0,0,1.0,138.26666666666668,239.0,71.11111111111111,0,0,0,0,0,0,6,1434,9,640,-1,501,3,0,25787.0,0.0,25787.0,25787.0,6874130.0,0.0,6874130.0,6874130.0,No Label
10.0.2.15-34.107.221.82-39800-80-6,10.0.2.15,39800,34.107.221.82,80,6,11/05/2022 03:14:27 PM,5564937,6,1,1505.0,0.0,301.0,0.0,250.83333333333334,122.88273542962277,0.0,0.0,0.0,0.0,270.4433131947406,1.2578758753243748,927489.5,640420.054236202,2016083.0,251633.0,5005166.0,1001033.2,687100.6030867678,2016083.0,251633.0,0,0,0,0,0,0,0,0,0,120,20,1.078179321706607,0.17969655361776785,0.0,301.0,188.125,155.78230002153646,24268.125,0,0,0,0,1,0,0,0,0.0,215.0,250.83333333333334,0.0,0,0,0,0,0,0,6,1505,1,0,-1,64024,5,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-34.107.221.82-39802-80-6,10.0.2.15,39802,34.107.221.82,80,6,11/05/2022 03:14:27 PM,5571908,6,1,1495.0,0.0,299.0,0.0,249.16666666666666,122.06623884869505,0.0,0.0,0.0,0.0,268.31024489277286,1.2563021499996052,928651.3333333334,677471.7254724854,2175858.0,261513.0,5001562.0,1000312.4,731570.3041743835,2175858.0,261513.0,0,0,0,0,0,0,0,0,0,120,20,1.076830414285376,0.1794717357142293,0.0,299.0,186.875,154.74720168252293,23946.696428571428,0,0,0,0,1,0,0,0,0.0,213.57142857142858,249.16666666666666,0.0,0,0,0,0,0,0,6,1495,1,0,-1,63942,5,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-34.107.221.82-47402-80-6,192.168.94.253,47402,34.107.221.82,80,6,11/05/2022 03:14:34 PM,5168845,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7738672759581686,1722948.3333333333,2930199.371242908,5106260.0,148.0,5106260.0,5106260.0,0.0,5106260.0,5106260.0,62437.0,62437.0,0.0,62437.0,62437.0,0,0,0,0,64,80,0.3869336379790843,0.3869336379790843,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-34.107.221.82-47398-80-6,192.168.94.253,47398,34.107.221.82,80,6,11/05/2022 03:14:33 PM,6019049,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9968352143336929,1203809.8,2219533.990537811,5150998.0,45.0,5440620.0,2720310.0,3437511.9354975335,5150998.0,289622.0,868006.0,434003.0,204126.17137937018,578342.0,289664.0,0,0,0,0,96,120,0.49841760716684647,0.49841760716684647,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
