Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
134.221.98.128-0.0.0.33-0-0-0,134.221.98.128,0,0.0.0.33,0,0,27-04-2022 08:13,89588406,50,1,0,0,0,0,0,0,0,0,0,0,0,0.569270091,1791768.12,5476831.907,3.09E+07,0,8.96E+07,1828334.816,5527417.923,3.09E+07,0,0,0,0,0,0,0,0,0,0,0,0,0.558107932,0.011162159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,-1,-1,0,0,4235354.25,3070958.308,7797353,756255,1.82E+07,9524915.228,3.09E+07,1.00E+07,No Label
134.221.98.128-0.0.0.101-0-0-0,134.221.98.128,0,0.0.0.101,0,0,27-04-2022 08:13,89552190,12,1,0,0,0,0,0,0,0,0,0,0,0,0.145166746,7462682.5,1.20E+07,3.17E+07,3185,8.92E+07,8104650.364,1.23E+07,3.17E+07,3185,0,0,0,0,0,0,0,0,0,0,0,0.134000073,0.011166673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,-1,-1,0,0,6211685,0,6211685,6211685,2.08E+07,1.28E+07,3.17E+07,5452416,No Label
134.221.98.128-0.0.0.86-0-0-0,134.221.98.128,0,0.0.0.86,0,0,27-04-2022 08:13,13528609,2,1,0,0,0,0,0,0,0,0,0,0,0,0.221752288,6764304.5,8153995.483,1.25E+07,998559,998559,998559,0,998559,998559,0,0,0,0,0,0,0,0,0,0,0,0.147834859,0.073917429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,1.25E+07,0,1.25E+07,1.25E+07,No Label
134.221.104.0-0.0.0.101-0-0-0,134.221.104.0,0,0.0.0.101,0,0,27-04-2022 08:13,115306786,3,1,0,0,0,0,0,0,0,0,0,0,0,0.034690066,3.84E+07,4.03E+07,8.04E+07,71347,8.04E+07,4.02E+07,5.68E+07,8.04E+07,71347,0,0,0,0,0,0,0,0,0,0,0,0.026017549,0.008672516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,5.76E+07,3.22E+07,8.04E+07,3.49E+07,No Label
134.221.98.128-0.0.0.37-0-0-0,134.221.98.128,0,0.0.0.37,0,0,27-04-2022 08:13,92485617,32,1,0,0,0,0,0,0,0,0,0,0,0,0.356812238,2890175.531,7565641.908,4.27E+07,0,9.10E+07,2934748.742,7686430.001,4.27E+07,0,0,0,0,0,0,0,0,0,0,0,0,0.345999746,0.010812492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,-1,-1,0,0,9363498.5,1579320.874,1.05E+07,8246750,1.92E+07,2.04E+07,4.27E+07,6834259,No Label
192.168.77.95-40.90.184.73-59796-443-6,192.168.77.95,59796,40.90.184.73,443,6,27-04-2022 08:15,558088,7,8,2522,8553,1370,0,360.2857143,474.3577111,6850,0,1069.125,2382.168126,19844.54065,26.87748169,39863.42857,66392.2869,184360,0,258158,43026.33333,65406.88614,132911,0,558088,79726.85714,77855.26996,185313,0,0,0,0,0,140,184,12.54282479,14.3346569,0,6850,692.1875,1702.156601,2897337.096,0,1,0,0,0,0,0,0,1,738.3333333,360.2857143,1069.125,0,0,0,0,0,0,7,2522,8,8553,-1,2049,5,0,0,0,0,0,0,0,0,0,No Label
192.168.77.95-40.90.184.73-59796-443-6,192.168.77.95,59796,40.90.184.73,443,6,27-04-2022 08:15,98,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,316326.5306,30612.2449,49,15.55634919,60,38,38,38,0,38,38,0,0,0,0,0,0,0,0,0,40,20,20408.16327,10204.08163,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,256,1,0,0,0,0,0,0,0,0,0,No Label
134.221.104.0-0.0.0.35-0-0-0,134.221.104.0,0,0.0.0.35,0,0,27-04-2022 08:13,65712748,3,1,0,0,0,0,0,0,0,0,0,0,0,0.06087099,2.19E+07,1.88E+07,3.49E+07,288168,6.54E+07,3.27E+07,3066507.15,3.49E+07,3.05E+07,0,0,0,0,0,0,0,0,0,0,0,0.045653242,0.015217747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,288168,0,288168,288168,3.27E+07,3066507.15,3.49E+07,3.05E+07,No Label
134.221.98.128-0.0.0.54-0-0-0,134.221.98.128,0,0.0.0.54,0,0,27-04-2022 08:13,98194762,3,1,0,0,0,0,0,0,0,0,0,0,0,0.04073537,3.27E+07,3.81E+07,7.55E+07,2550416,9.56E+07,4.78E+07,3.91E+07,7.55E+07,2.02E+07,0,0,0,0,0,0,0,0,0,0,0,0.030551528,0.010183843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,2550416,0,2550416,2550416,4.78E+07,3.91E+07,7.55E+07,2.02E+07,No Label
134.221.98.128-0.0.0.42-0-0-0,134.221.98.128,0,0.0.0.42,0,0,27-04-2022 08:13,90935214,6,1,0,0,0,0,0,0,0,0,0,0,0,0.07697788,1.52E+07,2.53E+07,6.57E+07,10064,2.52E+07,5041545,6001787.2,1.21E+07,10064,0,0,0,0,0,0,0,0,0,0,0,0.06598104,0.01099684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,-1,-1,0,0,1045122.5,1066725.027,1799411,290834,2.96E+07,3.13E+07,6.57E+07,1.10E+07,No Label
