Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
127.0.0.1-127.0.0.1-57762-57761-6,127.0.0.1,57762,127.0.0.1,57761,6,26/04/2022 10:46:48 pm,119860770,55,1,55.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.467208745613765,0.467208745613765,2179286.7272727275,7126621.794838576,3.0162541E7,33.0,1.19860631E8,2219641.3148148144,7187194.114554336,3.0162541E7,33.0,0,0,0,0,0,0,1,0,0,1100,20,0.4588657322992335,0.008343013314531519,1.0,1.0,1.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,1.0178571428571428,1.0,1.0,0,0,0,0,0,0,55,55,1,1,-1,65535,55,0,139046.0,220787.17639573183,494925.0,125.0,1.9835003666666668E7,1.1339279784924747E7,3.0162541E7,6422680.0,No Label
127.0.0.1-127.0.0.1-57761-57762-6,127.0.0.1,57761,127.0.0.1,57762,6,26/04/2022 10:46:48 pm,119860734,55,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4672088859392435,2179286.0727272714,7126630.861183155,3.016257E7,29.0,1.1986063E8,2219641.296296296,7187203.07398995,3.016257E7,29.0,0,0,0,0,0,0,0,0,0,1100,20,0.45886587011889984,0.008343015820343634,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,55,0,1,0,-1,62206,0,0,139014.16666666666,220784.8812807767,494882.0,93.0,1.98350325E7,1.1339279057848586E7,3.016257E7,6422707.0,No Label
127.0.0.1-127.0.0.1-57730-57729-6,127.0.0.1,57730,127.0.0.1,57729,6,26/04/2022 10:46:57 pm,119341466,60,1,60.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5111383498506714,0.5111383498506714,1989024.4333333336,5719148.765218912,3.6383717E7,28.0,1.19341336E8,2022734.5084745768,5762225.9026379725,3.6383717E7,28.0,0,0,0,0,0,0,1,0,0,1200,20,0.5027590326400047,0.008379317210666743,1.0,1.0,1.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,1.0163934426229508,1.0,1.0,0,0,0,0,0,0,60,60,1,1,-1,65535,60,0,1003049.75,1315178.1989634659,3183548.0,86.0,1.3788354375E7,9522270.70948188,3.6383717E7,6810173.0,No Label
127.0.0.1-127.0.0.1-57729-57730-6,127.0.0.1,57729,127.0.0.1,57730,6,26/04/2022 10:46:57 pm,119341439,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5111384654914376,1989023.9833333332,5719159.077187302,3.6383753E7,27.0,1.19341329E8,2022734.3898305085,5762236.195664475,3.6383753E7,27.0,0,0,0,0,0,0,0,0,0,1200,20,0.5027591463850206,0.00837931910641701,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,60,0,1,0,-1,57211,0,0,1003022.75,1315173.7855140504,3183519.0,64.0,1.3788382624999998E7,9522271.902141495,3.6383753E7,6810201.0,No Label
0.0.0.0-0.0.0.0-0-0-0,0.0.0.0,0,0.0.0.0,0,0,26/04/2022 10:46:51 pm,90005233,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666279059574236,1.80010466E7,2.464890761140387E7,4.5004302E7,20.0,9.0005197E7,2.250129925E7,2.598223179704068E7,4.5004302E7,20.0,0,0,0,0,0,0,0,0,0,0,0,0.05555232549645196,0.011110465099290394,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,34.5,2.1213203435596424,36.0,33.0,4.5002572E7,2446.5894629054546,4.5004302E7,4.5000842E7,No Label
